Название работы,1 plan,2 plan,3 plan,4 plan,5 plan,6 plan,7 plan,8 plan,9 plan,10 plan,11 plan,12 plan,13 plan,14 plan,15 plan,16 plan,17 plan,18 plan,19 plan,20 plan,21 plan,22 plan,23 plan,24 plan,25 plan,26 plan,27 plan,28 plan,29 plan,30 plan,1 fact,2 fact,3 fact,4 fact,5 fact,6 fact,7 fact,8 fact,9 fact,10 fact,11 fact,12 fact,13 fact,14 fact,15 fact,16 fact,17 fact,18 fact,19 fact,20 fact,21 fact,22 fact,23 fact,24 fact,25 fact,26 fact,27 fact,28 fact,29 fact,30 fact
Укладка в траншею изолированных трубопроводов: Д 377 мм _act,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0
"Обратная засыпка грунта одноковшовым экскаватором , группа грунтов 2 _act",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.3,0.06,0,0,0,0,0,0,0,0
"            Устройство лежневого настила шириной 3,5 м_act",24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Устройство насыпи при доставке грунта автотранспортными средствами с перемещением_act,0,0,111,111,111,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Планировка откосов и верха насыпи площадки механизированным способом_act,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Разработка грунта в отвал экскаваторами_act,0,0,0,0,0,0,0,0,0,0,120,115,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Сборка и установка кранового узла с двусторонней продувкой на трубопроводе: Д 350 мм_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0.15,0.15,0.15,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Сборка и установка крана шарового Ду 100 мм_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Установка КШ Ду50мм_act,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
               Укладка трубы 114мм_act,0,0,0,0,0,0,0,0,0,0,0,0.07,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
